timestamp,P_mpp,P_pv,P_pv_setpoint,ghi,temp,azimuth,elevation,zenith,dispo_pv
2021-10-31 23:45:00+01:00,352,7217230649077,-62,24939444433725,152,24939444433724,,,100
2021-11-01 00:00:00+01:00,0,5399747284176897,-62,41671050817678,152,41671050817678,,,100
2021-11-01 00:15:00+01:00,8,347057818466169,-62,20387459659842,152,2038745965984,,,100
2021-11-01 00:30:00+01:00,15,964921566966723,-61,61968240302943,151,61968240302943,,,100
2021-11-01 00:45:00+01:00,23,2444527214177,-60,68693541033519,150,6869354103352,,,100
2021-11-01 01:00:00+01:00,30,8249019237985,-59,43847360240584,149,43847360240585,,,100
2021-11-01 01:15:00+01:00,36,4252722971857,-57,9123761789801,147,91237617898008,,,100
2021-11-01 01:30:00+01:00,42,261322574024405,-56,1476974605991,146,1476974605991,,,100
2021-11-01 01:45:00+01:00,47,609502921582816,-54,18146283483921,144,1814628348392,,,100
2021-11-01 02:00:00+01:00,52,5070383168528,-52,4699879544243,142,4699879544242,,,100
2021-11-01 02:15:00+01:00,57,1084700784,-49,77330637639945,139,77330637639943,,,100
2021-11-01 02:30:00+01:00,61,13682174855364,-47,38510274739789,137,3851027473979,,,100
2021-11-01 02:45:00+01:00,64,96440025997038,-44,90321550518053,134,90321550518053,,,100
2021-11-01 03:00:00+01:00,68,52609292117319,-42,34511650224259,132,3451165022426,,,100
2021-11-01 03:15:00+01:00,71,86090259463168,-39,725474711136954,129,72547471113694,,,100
2021-11-01 03:30:00+01:00,75,337476316452,-37,56666643059664,127,5666664305966,,,100
2021-11-01 03:45:00+01:00,77,98386876413582,-34,3492196569988,124,3492196569988,,,100
2021-11-01 04:00:00+01:00,80,82899808602531,-31,61218656898833,121,61218656898834,,,100
2021-11-01 04:15:00+01:00,83,56212461520516,-28,85345616583327,118,85345616583326,,,100
2021-11-01 04:30:00+01:00,86,20384569284829,-26,8000762159022,116,8000762159023,,,100
2021-11-01 04:45:00+01:00,88,77244194485792,-23,29812073170871,113,2981207317087,,,100
2021-11-01 05:00:00+01:00,91,28427559347767,-20,51354984257629,110,51354984257628,,,100
