timestamp,P_mpp,P_pv,P_pv_setpoint,ghi,temp,azimuth,elevation,zenith,dispo_pv
2021-10-31 23:45:00+04:00,0,0,0,74125,247,5,0,0,100
2021-11-01 00:00:00+04:00,0,0,0,2.8866666E+016,247,5,0,0,100
2021-11-01 00:15:00+04:00,0,0,0,2876574,247,5,0,0,100
2021-11-01 00:30:00+04:00,0,0,0,2.9123148E+016,247,5,0,0,100
2021-11-01 00:45:00+04:00,0,0,0,28550925,247,5,0,0,100
2021-11-01 01:00:00+04:00,0,0,0,28306481,247,5,0,0,100
2021-11-01 01:15:00+04:00,0,0,0,2.9192592E+016,247,5,0,0,100
2021-11-01 01:30:00+04:00,0,0,0,22722222,247,5,0,0,100
2021-11-01 01:45:00+04:00,0,0,0,8860185,247,5,0,0,100
2021-11-01 02:00:00+04:00,0,0,0,7951851999999999,247,5,0,0,100
2021-11-01 02:15:00+04:00,0,0,0,907963,247,5,0,0,100
2021-11-01 02:30:00+04:00,0,0,0,8794444,247,5,0,0,100
2021-11-01 02:45:00+04:00,0,0,0,8333333,247,5,0,0,100
2021-11-01 03:00:00+04:00,0,0,0,8412036999999999,247,5,0,0,100
2021-11-01 03:15:00+04:00,0,0,0,8087963,247,5,0,0,100
2021-11-01 03:30:00+04:00,0,0,0,8605555,247,5,0,0,100
2021-11-01 03:45:00+04:00,0,0,0,8238889000000001,247,5,0,0,100
2021-11-01 04:00:00+04:00,0,0,0,7548148,247,5,0,0,100
2021-11-01 04:15:00+04:00,0,0,0,8191667,247,5,0,0,100
2021-11-01 04:30:00+04:00,0,0,0,847963,247,5,0,0,100
2021-11-01 04:45:00+04:00,0,0,0,8124074,247,5,0,0,100
2021-11-01 05:00:00+04:00,0,0,0,8630555,247,5,0,0,100
2021-11-01 05:15:00+04:00,0,0,0,4366667,82,25231478,0,4.7592593E+016,100
2021-11-01 05:30:00+04:00,0,682034991,0,588539813,183,5041639,4,749907407,100
2021-11-01 05:45:00+04:00,2,942976455,2,65962315,247,5,15,74620371,100
2021-11-01 06:00:00+04:00,4,948816756,4,9.67263886E+015,247,5,25,95379627,100
2021-11-01 06:15:00+04:00,6,561399057999999,7,431397228,247,5,34,13712964,100
2021-11-01 06:30:00+04:00,15,91479839,12,14240281,247,5,134,9648148,100
2021-11-01 06:45:00+04:00,23,73874194,20,3442306,247,5,199,597963,100
2021-11-01 07:00:00+04:00,33,6730692,31,52181676,247,5,263,4154629,100
2021-11-01 07:15:00+04:00,43,6612824,44,77288797,247,5,327,61722230000004,100
2021-11-01 07:30:00+04:00,54,52865058,58,69026484,247,5,392,29703689999997,100
2021-11-01 07:45:00+04:00,69,29043328,73,8035924,247,5,454,31972189999993,100
2021-11-01 08:00:00+04:00,81,38214394,86,56737774,247,5,515,3002771,100
2021-11-01 08:15:00+04:00,93,51713239,99,36685496,247,5,576,1485167000001,100
2021-11-01 08:30:00+04:00,105,47988400000001,111,81463079999999,247,5,636,1041650000001,100
2021-11-01 08:45:00+04:00,117,3228033,124,22939720000001,247,5,695,6425917,100
2021-11-01 09:00:00+04:00,106,1204679,117,97650449999999,247,5,617,7149095,100
2021-11-01 09:15:00+04:00,57,81313963,59,64503245,247,5,327,41407410000005,100
2021-11-01 09:30:00+04:00,47,55745761,50,10636856,247,5,257,10944440000003,100
2021-11-01 09:45:00+04:00,48,46453897,53,8192968,247,5,257,8786111,100
2021-11-01 10:00:00+04:00,55,29895968,61,42129807,247,5,295,12398160000004,100
2021-11-01 10:15:00+04:00,73,8275247,83,3285965,247,5,405,9696294,100
2021-11-01 10:30:00+04:00,109,21630049999999,137,3809957,247,5,598,1533333,100
2021-11-01 10:45:00+04:00,145,5291195,151,384813,247,5,804,6000916,100
2021-11-01 11:00:00+04:00,84,74957735,89,47462604,247,5,452,3331481000001,100
2021-11-01 11:15:00+04:00,87,62901527,92,97059357,247,49,483,59916669999996,100
2021-11-01 11:30:00+04:00,90,6951159,97,97922959,247,48,477,26509239999996,100
2021-11-01 11:45:00+04:00,88,73758240000001,103,37935279999999,247,48,481,87055539999994,100
2021-11-01 12:00:00+04:00,102,53049250000001,107,8122544,247,3872,547,100649,100
2021-11-01 12:15:00+04:00,194,958028,202,1813789,247,42,1070,71019,100
2021-11-01 12:30:00+04:00,187,6273106,182,818341,247,42,1004,75741,100
2021-11-01 12:45:00+04:00,176,7368612,186,4187259,247,42,935,5662967000001,100
2021-11-01 13:00:00+04:00,138,48585409999998,141,4451915,244,9282779999998,724,1899996000001,100
2021-11-01 13:15:00+04:00,216,11628819999999,213,42838799999998,237,9955249,1135,291017,100
2021-11-01 13:30:00+04:00,208,7743592,211,97473,247,32,1075,894814,100
2021-11-01 13:45:00+04:00,210,14716969999998,207,45250819999998,247,32,1076,5662960000002,100
2021-11-01 14:00:00+04:00,165,51765509999998,173,21142759999998,243,1361529,840,72217000001,100
2021-11-01 14:15:00+04:00,133,2074904,129,302689,238,3744264,660,7552784,100
2021-11-01 14:30:00+04:00,58,52203507,65,52026019,247,5093472,304,66712939999996,100
2021-11-01 14:45:00+04:00,77,83005901,82,1933798,248,31,402,8891666,100
2021-11-01 15:00:00+04:00,194,87454330000003,193,7892082,248,31,942,598143999999,100
2021-11-01 15:15:00+04:00,150,800284,137,5640411,248,31,706,1975927999999,100
2021-11-01 15:30:00+04:00,68,82607691,75,62050013,248,31,343,7756481,100
2021-11-01 15:45:00+04:00,57,93651902,63,78229616,248,31,290,98259260000003,100
2021-11-01 16:00:00+04:00,99,63434588,93,26602212,248,31,457,50213030000003,100
2021-11-01 16:15:00+04:00,75,25060842,77,29326468,248,31,352,2606477,100
2021-11-01 16:30:00+04:00,64,99445926,60,97145091,248,31,292,393519,100
